时段,部门,成交单量,成交金额
1,OTHER,1235,1353
1,GG,2279,1422167.84
1,GG,1692,687645.26
1,GG,1412,421691.3
1,GG,2113,2144451.3
1,GG,1983,1066340.7
1,GG,1236,1369.28
1,GG,3089,1801464.42
1,JJ,1398,597682.12
1,JJ,9690,6954227.69
1,JJ,13255,15301234
1,JJ,1235,1239.5
1,JJ,10914,2600638.65
1,JJ,5501,745031.65
1,JJ,5697,1399180.32
1,JJ,3587,321040.81
1,JJ,13994,1005636.07
1,JJ,3456,424536.96
1,JJ,4771,1301019.16
1,JJ,19444,15701234
1,JJ,33787,28401234
1,JJ,17099,6593478.39
1,JJ,2459,7122240.84
1,SS,1290,9881.6
1,SS,3764,1072084.57
1,SS,6258,3070933.84
1,SS,8116,1664702.48
1,SS,8654,647408.87
1,SS,2384,151953.24
1,SS,5213,3057333.97
1,SS,2458,332488.85
1,SS,1403,29719.8
1,SS,1318,19182.45
1,SS,5376,1818822.52
1,SS,4243,32201234
1,SS,1953,11201234
1,SS,16064,9133454.4
1,SS,16615,6786718.33
1,SS,3263,1193489.26
1,SS,4351,813743.88
1,SS,14325,9372774.42
1,SS,6504,6995665.7
1,SS,36453,15601234
1,SS,1240,2887.44
1,SS,1235,1508
1,SS,2839,1727337.88
1,SS,81052,32801234
1,SS,3205,2765260.81
1,SS,1519,1054392.52
1,SS,4310,2986680
1,SS,1243,970
1,SS,2571,2361108.7
1,SS,6030,2012047.59
1,SS,5327,1683570.32
1,SS,2493,297679.04
1,SS,7022,4375450.52
1,MM,5405,1192991.99
1,MM,13561,3281516.51
1,MM,84993,25801234
1,MM,19571,3225294.81
1,MM,2159,81130.76
1,MM,20130,2212016.88
1,MM,12122,1916013.06
1,MM,76885,27201234
2,GG,1782,884015.72
2,GG,1351,50799.38
2,GG,2995,286318.52
2,GG,1373,76448
2,JJ,1466,1762729.88
2,JJ,2069,2624544.5
2,JJ,2357,3996623.37
2,JJ,1268,35677
2,JJ,2013,2583110.87
2,JJ,4429,380253.58
2,JJ,6661,701877.63
2,JJ,8016,344150.52
2,JJ,6675,1166132.72
2,JJ,2545,190945.98
2,JJ,2052,46918.21
2,JJ,1291,19740.8
2,JJ,9495,9612483.02
2,JJ,1393,2215910.46
2,JJ,4106,2256303.14
2,JJ,2774,327022.93
2,JJ,5605,2381533.97
2,JJ,1659,191848.01
2,SS,3096,389863.69
2,SS,1712,849251.3
2,SS,2491,390976.79
2,SS,8916,2958817.58
2,SS,1254,6175.82
2,SS,1235,1582
2,SS,1853,159285.41
2,SS,1930,1038319.56
2,SS,1436,68792.52
2,SS,4468,3150436.93
2,SS,1838,140929.21
2,SS,3347,540137.91
2,SS,1965,602927
2,SS,7072,1639789.21
2,SS,6667,1460339.06
2,SS,2830,2046480.32
2,SS,1740,448848.44
2,SS,2326,1421604.36
2,SS,1801,3152195.5
2,SS,1373,95083.91
2,SS,2794,442675.12
2,SS,1897,139772.86
2,SS,4344,844554.1
2,SS,2550,283352.93
2,SS,3621,835240.1
2,SS,3034,255387.33
2,SS,3037,286535.1
2,MM,7186,1207331.24
2,MM,4412,447012.82
2,MM,10682,1807695.53
2,MM,1808,50519.74
3,GG,1377,172612.2
3,GG,1290,97635.62
3,GG,1328,249872.3
3,GG,1377,371607.9
3,GG,1541,301564.27
3,GG,1235,1267.82
3,GG,1523,318546.29
3,JJ,1268,19555.4
3,JJ,2205,546164.41
3,JJ,2268,940862.51
3,JJ,1238,103934
3,JJ,3206,381055.49
3,JJ,2702,179965.79
3,JJ,2469,322757.43
3,JJ,2103,122284.97
3,JJ,3832,161050.38
3,JJ,1849,91530.69
3,JJ,1901,201094.05
3,JJ,3280,783901.04
3,JJ,4335,2242852.38
3,JJ,3301,654743.93
3,JJ,1432,594936.3
3,SS,1251,4739
3,SS,2239,433607.37
3,SS,2775,262043.28
3,SS,2755,349391.23
3,SS,3973,345986.68
3,SS,1718,65863.79
3,SS,2477,595292.76
3,SS,1710,183811.09
3,SS,1294,9276.49
3,SS,1275,11223.3
3,SS,2155,257247.92
3,SS,3373,18601234
3,SS,1417,3970243.28
3,SS,2379,1248065.15
3,SS,2927,1274786.42
3,SS,1535,175662.82
3,SS,1851,131561.24
3,SS,3285,1511099.7
3,SS,1751,688969.34
3,SS,7001,2074147.93
3,SS,1236,2485.51
3,SS,1449,157106
3,SS,13023,4840919.15
3,SS,1463,323433.5
3,SS,1308,193758.1
3,SS,1495,234874.94
3,SS,1236,1184
3,SS,1452,203890.1
3,SS,1638,162678.71
3,SS,1836,284882.37
3,SS,1408,39646.91
3,SS,1956,511606.69
3,MM,1921,153193.29
3,MM,4325,766769.82
3,MM,7105,2707497.74
3,MM,3403,608479.06
3,MM,1518,26182.5
3,MM,3874,334210.08
3,MM,2705,242591.29
3,MM,7546,2379306.09
4,GG,1481,400785.9
4,GG,1261,10930.82
4,GG,1399,36026.61
4,GG,1282,22666
4,JJ,1283,217421.57
4,JJ,1396,445926.71
4,JJ,1514,941061.64
4,JJ,1240,6773
4,JJ,1435,614317.04
4,JJ,2347,105254.79
4,JJ,3074,232440.1
4,JJ,3793,122418.07
4,JJ,3145,357010.22
4,JJ,1684,61117.98
4,JJ,1592,18817.38
4,JJ,1238,1486
4,JJ,3672,3077839.28
4,JJ,1284,352474.67
4,JJ,2019,544036.42
4,JJ,1731,96485.64
4,JJ,2143,524490.45
4,JJ,1356,47947.68
4,SS,1766,77955.6
4,SS,1405,85305.21
4,SS,1704,187125.79
4,SS,4728,1278326.59
4,SS,1240,2167.9
4,SS,1443,62931.63
4,SS,1499,57156.93
4,SS,1297,23192.41
4,SS,2676,258886.34
4,SS,1436,48460.2
4,SS,1961,142111.19
4,SS,1442,207909.8
4,SS,3614,406906.78
4,SS,3656,406434.32
4,SS,1652,525518.38
4,SS,1404,127537.43
4,SS,1524,400455.34
4,SS,1363,804538.52
4,SS,1276,16467.52
4,SS,1834,226171.51
4,SS,1452,50720.6
4,SS,2103,224449.72
4,SS,1654,94820.45
4,SS,2171,286230.26
4,SS,1967,96797.68
4,SS,1981,113068.36
4,MM,2969,339855.47
4,MM,2214,125113.77
4,MM,3797,427901.47
4,MM,1378,12912.06
5,GG,1284,61027.23
5,GG,1252,28132.82
5,GG,1284,90711.9
5,GG,1284,144850
5,GG,1355,136284.4
5,GG,1235,1352.92
5,GG,1331,89502.61
5,JJ,1260,15237.65
5,JJ,1569,173080.05
5,JJ,1595,306496.54
5,JJ,1937,125387.64
5,JJ,1829,68302.16
5,JJ,1706,92005.74
5,JJ,1621,48001.06
5,JJ,2229,57991
5,JJ,1485,28660.51
5,JJ,1522,75352.21
5,JJ,1933,183355.93
5,JJ,2144,687393.51
5,JJ,1823,176690.66
5,JJ,1281,19081.36
5,SS,1242,2524
5,SS,1792,38952.76
5,SS,1857,50000.46
5,SS,1829,124847.39
5,SS,2186,76101.27
5,SS,1426,26222.57
5,SS,1601,169563.87
5,SS,1472,48699.04
5,SS,1255,4021.78
5,SS,1247,3724.26
5,SS,1541,70878.33
5,SS,1717,4148918.91
5,SS,1351,2539505.95
5,SS,1589,163425.76
5,SS,1743,143899.75
5,SS,1304,44640.45
5,SS,1453,46692.2
5,SS,1870,419699.64
5,SS,1411,112225.9
5,SS,2982,584192.01
5,SS,1328,65587.09
5,SS,5190,1662890.91
5,SS,1315,120767.8
5,SS,1263,97438.5
5,SS,1314,71452.8
5,SS,1235,1234
5,SS,1332,75584.1
5,SS,1383,50841.24
5,SS,1391,74867.35
5,SS,1307,16891.32
5,SS,1441,149626.1
5,MM,1474,49452.56
5,MM,2173,233868.93
5,MM,3495,1317630.84
5,MM,2090,202146.64
5,MM,1366,11205.24
5,MM,2289,118572.33
5,MM,1813,132739.83
5,MM,3599,914439.62
6,OTHER,1235,1333.9
6,GG,1287,119736.1
6,GG,1252,8329.68
6,GG,1310,18871.83
6,GG,1261,16181
6,JJ,1250,46762.4
6,JJ,1287,119675.99
6,JJ,1276,141904.7
6,JJ,1238,4131.9
6,JJ,1288,121755.12
6,JJ,1777,69648.97
6,JJ,1986,104750.91
6,JJ,2210,56641.75
6,JJ,2085,149615.67
6,JJ,1421,27965.4
6,JJ,1397,9390.84
6,JJ,1236,1298
6,JJ,1849,516480.08
6,JJ,1245,9130
6,JJ,1497,128633.69
6,JJ,1463,44801.46
6,JJ,1503,213083.68
6,JJ,1277,9965.45
6,SS,1389,23731.33
6,SS,1318,9771.35
6,SS,1420,50836.28
6,SS,1583,120770.04
6,SS,1239,2181.9
6,SS,1316,29160.44
6,SS,1368,15107.97
6,SS,1260,10207.11
6,SS,1987,113494.11
6,SS,1310,19047.1
6,SS,1556,75480.62
6,SS,1340,105762.4
6,SS,1829,154378.92
6,SS,2559,196839.1
6,SS,1398,206986.61
6,SS,1299,49089.4
6,SS,1393,204309
6,SS,1304,364519.9
6,SS,1252,7473.6
6,SS,1322,23994.5
6,SS,1342,15304.34
6,SS,1565,128712.34
6,SS,1420,39571.31
6,SS,1471,71851.65
6,SS,1540,41845.78
6,SS,1471,39153.32
6,MM,2046,177627.96
6,MM,1727,63829.75
6,MM,2537,204582.07
6,MM,1309,7645.19
7,GG,1254,37911.3
7,GG,1242,12918.9
7,GG,1254,43316.2
7,GG,1264,75565.5
7,GG,1259,23939.8
7,GG,1235,1301.64
7,GG,1273,42664.22
7,JJ,1247,9058.4
7,JJ,1415,102309.38
7,JJ,1440,175203
7,JJ,1235,1246.4
7,JJ,1610,67361.81
7,JJ,1524,40036.55
7,JJ,1543,69842.18
7,JJ,1464,31372.12
7,JJ,1751,37121
7,JJ,1393,18561.55
7,JJ,1429,43883.01
7,JJ,1683,103608.73
7,JJ,1698,389943.22
7,JJ,1579,109571.84
7,JJ,1256,6686.12
7,SS,1237,1937
7,SS,1533,23732.82
7,SS,1570,28830.38
7,SS,1598,70438.58
7,SS,1760,43930.24
7,SS,1333,13270.85
7,SS,1384,45586.15
7,SS,1413,30374.3
7,SS,1249,3365.33
7,SS,1236,1502
7,SS,1402,32162.86
7,SS,1352,1022965.8
7,SS,1273,477136.72
7,SS,1496,93784.75
7,SS,1532,82260.67
